run_id,campaign_mode,city,instance_type,customer_pattern,time_window_tightness,n_customers,n_stations,node_elevation_provider,compute_matrices,run_energy_feasibility,road_graph_nodes,road_graph_edges,n_depots,n_satellites,generation_time_s
04a53de85dde04dcfdbae5b368,main,Casablanca,classic_evrptw,c,medium,200,60,srtm,True,True,37439,98562,1,0,112.858616
0b03276e8557feb2847e89598e,main,Casablanca,classic_evrptw,c,medium,200,60,srtm,True,True,37439,98562,1,0,82.655259
83f15ea99abb27918e0ca08604,main,Casablanca,classic_evrptw,c,medium,200,60,srtm,True,True,37439,98562,1,0,78.706487
c06e1b0bee7a727e2709103a97,main,Casablanca,classic_evrptw,c,medium,200,60,srtm,True,True,37439,98562,1,0,77.446241
66a8bfc23272464319fdd3729b,main,Casablanca,classic_evrptw,c,medium,200,60,srtm,True,True,37439,98562,1,0,77.414799
44bbde959ff6d048b3220a3350,main,Casablanca,classic_evrptw,r,medium,200,60,srtm,True,True,37439,98562,1,0,72.849251
91195b656b8718e0ca5675311b,main,Casablanca,classic_evrptw,r,medium,200,60,srtm,True,True,37439,98562,1,0,77.473119
f782de629ce5a17efe1d0e87f7,main,Casablanca,classic_evrptw,r,medium,200,60,srtm,True,True,37439,98562,1,0,77.239413
12054e7fa985da596ebf7f898a,main,Casablanca,classic_evrptw,r,medium,200,60,srtm,True,True,37439,98562,1,0,74.898236
1ea6b7c67273d527dc8e8d261d,main,Casablanca,classic_evrptw,r,medium,200,60,srtm,True,True,37439,98562,1,0,78.812008
c781587144cf0c9b653ee9b72e,main,Casablanca,classic_evrptw,rc,medium,200,60,srtm,True,True,37439,98562,1,0,78.854736
13d7fd5ec5c847f412f51d3b2f,main,Casablanca,classic_evrptw,rc,medium,200,60,srtm,True,True,37439,98562,1,0,91.109875
0be465a1c6eed15e25b581c881,main,Casablanca,classic_evrptw,rc,medium,200,60,srtm,True,True,37439,98562,1,0,133.576094
5f6f5e2f3ac2262248e05249b8,main,Casablanca,classic_evrptw,rc,medium,200,60,srtm,True,True,37439,98562,1,0,143.506456
0b95eb2361ba839b6f0e8b7e53,main,Casablanca,classic_evrptw,rc,medium,200,60,srtm,True,True,37439,98562,1,0,136.203855
605d576476d88a31fae2308ff1,main,Casablanca,multi_depot_evrptw,c,medium,200,60,srtm,True,True,37439,98562,3,0,302.872271
